participant,trial,frame,t_ms,dot,x,y
01_SV,0,12,650,9,635.0,1199.0
01_SV,0,13,700,0,667.0,193.0
01_SV,0,13,700,1,858.0,769.0
01_SV,0,13,700,2,1042.0,675.0
01_SV,0,13,700,3,749.0,861.0
01_SV,0,13,700,4,767.0,439.0
01_SV,0,13,700,5,471.0,696.0
01_SV,0,13,700,6,478.0,853.0
01_SV,0,13,700,7,1106.0,531.0
01_SV,0,13,700,8,1015.0,415.0
01_SV,0,13,700,9,625.0,1203.0
01_SV,0,14,750,0,669.0,182.0
01_SV,0,14,750,1,852.0,760.0
01_SV,0,14,750,2,1036.0,684.0
01_SV,0,14,750,3,742.0,853.0
01_SV,0,14,750,4,756.0,440.0
01_SV,0,14,750,5,477.0,687.0
01_SV,0,14,750,6,473.0,843.0
01_SV,0,14,750,7,1115.0,524.0
01_SV,0,14,750,8,1005.0,411.0
01_SV,0,14,750,9,615.0,1207.0
01_SV,0,15,800,0,670.0,171.0
01_SV,0,15,800,1,845.0,751.0
01_SV,0,15,800,2,1030.0,693.0
01_SV,0,15,800,3,735.0,845.0
01_SV,0,15,800,4,745.0,441.0
01_SV,0,15,800,5,483.0,677.0
01_SV,0,15,800,6,468.0,833.0
01_SV,0,15,800,7,1124.0,517.0
01_SV,0,15,800,8,995.0,408.0
01_SV,0,15,800,9,605.0,1211.0
01_SV,0,16,850,0,671.0,160.0
01_SV,0,16,850,1,838.0,742.0
01_SV,0,16,850,2,1024.0,702.0
01_SV,0,16,850,3,728.0,837.0
01_SV,0,16,850,4,734.0,442.0
01_SV,0,16,850,5,489.0,668.0
01_SV,0,16,850,6,463.0,823.0
01_SV,0,16,850,7,1132.0,510.0
01_SV,0,16,850,8,985.0,405.0
01_SV,0,16,850,9,595.0,1215.0
01_SV,0,17,900,0,672.0,149.0
01_SV,0,17,900,1,831.0,733.0
01_SV,0,17,900,2,1018.0,712.0
01_SV,0,17,900,3,721.0,828.0
01_SV,0,17,900,4,723.0,443.0
01_SV,0,17,900,5,495.0,659.0
01_SV,0,17,900,6,459.0,813.0
01_SV,0,17,900,7,1140.0,503.0
01_SV,0,17,900,8,975.0,402.0
01_SV,0,17,900,9,585.0,1219.0
01_SV,0,18,950,0,673.0,138.0
01_SV,0,18,950,1,824.0,724.0
01_SV,0,18,950,2,1013.0,722.0
01_SV,0,18,950,3,714.0,819.0
01_SV,0,18,950,4,712.0,444.0
01_SV,0,18,950,5,500.0,649.0
01_SV,0,18,950,6,455.0,803.0
01_SV,0,18,950,7,1148.0,496.0
01_SV,0,18,950,8,965.0,398.0
01_SV,0,18,950,9,575.0,1223.0
01_SV,0,19,1000,0,674.0,127.0
01_SV,0,19,1000,1,824.0,724.0
01_SV,0,19,1000,2,1008.0,732.0
01_SV,0,19,1000,3,714.0,819.0
01_SV,0,19,1000,4,701.0,445.0
01_SV,0,19,1000,5,505.0,639.0
01_SV,0,19,1000,6,451.0,793.0
01_SV,0,19,1000,7,1156.0,489.0
